date,age,distance,stores,latitude,longitude,price
2009,21,9,6,84,121,14264
2007,4,2,3,86,121,12032
2016,18,3,7,90,120,13560
2002,13,2,2,80,128,12029
2014,25,5,8,81,122,14157
2008,11,9,3,88,126,14287
2000,23,5,10,83,128,13721
2004,15,8,9,88,124,14010
2017,32,5,5,82,124,14689
2017,14,3,0,90,126,12670
2016,22,4,5,85,127,13157
2017,12,6,4,81,125,13611
2010,29,3,9,85,123,14463
2004,7,6,7,81,124,13253
2012,8,4,2,86,122,13552
2011,24,8,0,80,127,14841
2006,20,8,9,84,122,14254
2007,32,2,4,82,124,13968
2004,2,4,10,89,121,13628
2004,5,8,10,81,128,13920
2014,25,10,0,90,127,14527
2006,1,10,9,81,130,13853
2006,31,1,5,90,121,13249
2006,29,9,1,86,123,15194
2006,30,9,4,82,129,15056
2000,15,7,6,87,126,14010
2001,36,1,0,82,121,13359
2014,8,2,2,85,124,11896
2009,19,8,5,84,129,14555
2005,9,8,9,81,125,13986
2001,24,1,3,82,128,13494
2003,2,9,7,84,122,14392
2005,24,9,10,90,120,15287
2011,1,6,10,89,130,13482
2011,12,9,7,84,120,13985
2002,22,6,1,82,120,14387
2014,22,9,7,86,124,15308
2003,24,3,9,84,123,14194
2015,10,8,1,89,125,14217
2018,10,9,9,90,121,14580
2008,5,5,9,84,121,13983
2006,36,9,7,81,122,16170
2001,17,5,8,82,123,13245
2001,0,0,5,84,127,12515
2007,32,2,2,80,123,14483
2004,27,2,6,83,127,13942
2013,37,7,3,87,120,14801
2000,32,4,5,89,122,14041
2005,13,5,7,80,120,13752
2013,27,2,3,87,125,13468
2011,16,8,1,80,126,13666
2002,29,1,6,85,124,13492
2008,3,10,3,82,129,14236
2007,4,10,7,88,125,14086
2003,15,4,4,80,120,13349
2008,15,5,8,84,126,13711
2011,7,0,8,83,124,12364
2000,29,1,3,80,127,13324
2006,30,4,3,82,125,14675
2018,15,8,4,89,122,14328
2014,12,9,6,89,125,13751
2002,35,10,6,80,128,15755
2008,18,9,1,90,129,14668
2013,9,10,2,82,129,14769
2000,34,2,3,90,128,14492
